department,course_code,course_name,credits,prerequisites,corequisites,description
AMNE,215,Ancient Greece,3,,,A survey of the ancient Greek world from the Minoan and Mycenaean (about 2000-1000 BCE) to the Hellenistic Period (323-30 BCE). Credit will be granted for only one of CLST 231 or AMNE 215.
AMNE,216,Ancient Rome,3,,,A survey of the ancient Roman world from the foundation of the city to the death of Constantine. Credit will be granted for only one of CLST 232 or AMNE 216.
AMNE,225,"Gladiators, Games, and Spectacle in the Greek and Roman World",3,,,"History, development, and social function of various forms of spectacle in ancient Greece and Rome, from the Olympic games to the Roman arena. Credit will be granted for only one of CLST 260 or AMNE 225."
AMNE,235,Greek Philosophy I,3,,,"The Pre-Socratics; Socrates; Sophists; Plato. Recommended as preparation for AMNE 236/PHIL 212 and PHIL 310. Credit will be granted for only one of CLST 211, AMNE 235 or PHIL 211. Equivalency: PHIL211"
AMNE,236,Greek Philosophy II,3,,,"Aristotle; selections from Hellenistic and Late Antique Philosophy. Recommended as preparation for PHIL 310 and PHIL 311. Credit will be granted for only one of CLST 212, AMNE 236 or PHIL 212. Equivalency: PHIL212"
AMNE,251,Near Eastern and Biblical Mythology,3,,,"An introduction to the world of Near Eastern mythology, from the Gilgamesh Epic to the Book of Genesis and beyond. Credit will be granted for only one of RELG 201 or AMNE 251."
AMNE,260,Scriptures of the Near East,3,,,"An introduction to the scriptures of Judaism, Christianity, and Islam. Credit will be granted for only one of RELG 203 or AMNE 260."
AMNE,261,Eden to Exile: Introduction to the Hebrew Bible,3,,,"An overview of the Hebrew Bible (Old Testament), with emphasis on its ancient Near Eastern context; its competing religious perspectives; and its limits as a historical source. Credit will be granted for only one of RELG 209 or AMNE 261."
AMNE,262,Introduction to Judaism and its Texts,3,,,"What is Judaism? An overview of the key texts that have defined the Jewish religion, from the Hebrew Bible through works of contemporary thinkers. Recommended as a basis for upper-level courses in religious studies. Credit will be granted for only one of RELG 206 or AMNE 262."
AMNE,264,The New Testament and Early Christianity,3,,,"The origins of Christianity as reflected in the New Testament and contemporaneous literature. Credit will be granted for only one of RELG 316, AMNE 264, or AMNE 367. Equivalency: RELG 316, AMNE 264, or AMNE 367."
AMNE,265,History of Christianity to 800 CE,3,,,An introduction to the history of Christianity from its origins with Jesus through the coronation of Charlemagne as Roman Emperor in 800 CE.
AMNE,278,The Archaeology of Life and Death in the Roman Empire,3,,,"The lives of non-elite individuals and groups living under the Roman Empire, seen through material evidence and its interpretation. Identity, urbanism, economy, agriculture, diet, religion, Romanization, and burial. CNRS 104, AMNE 170 or ARCL 203 recommended as preparation. Credit will be granted for only one of CNRS 206 or AMNE 278."
AMNE,279,Byzantium: Arts of an Empire,3,,,"Art, architecture, and material culture of the Byzantine Empire situated in the eastern Mediterranean (c. 300-1453); focus on social and cultural contexts of artistic production, including interactions with neighboring cultures. Credit will be granted for only one of CNRS 207, AMNE 279 or ARTH 210. Equivalency: ARTH210"
AMNE,300,Uses and Abuses of Antiquity,3,/* Unparsed: second-year standing or higher. amne 200 is recommended. */,,"Modern receptions and engagements with literature, history, philosophy, religion, archaeology, and art of the ancient Mediterranean and Near East with a focus on public writing. Prerequisite: Second-year standing or higher. AMNE 200 is recommended."
AMNE,301,The Technical Terms of Medicine and Biological Science,3,,,"Acquaints the student with the Greek and Latin elements from which most specialized terms of modern medicine are constructed. Intended primarily for students planning to enter the medical, pharmaceutical, or biological sciences. Credit will be granted for only one of CLST 301 or AMNE 301."
AMNE,306,Ancient Technology: Greece and Rome,3,,,"The origins, achievements, and social impacts of applied technology in the Greek and Roman world from the Bronze Age to Late Antiquity (c. 1500 BCE - 400 CE), with special attention to archaeological evidence. Credit will be granted for only one of CLST 306 or AMNE 306."
AMNE,311,Prehistoric Egypt,3,,,A survey of the development and evolution of prehistoric humans and their material culture in Egypt from the Lower Paleolithic to the Chalcolithic. Credit will be granted for only one of NEST 311 or AMNE 311.
AMNE,312,History of Ancient Egypt,3,,,"History and culture of Ancient Egyptian civilization from political, intellectual, social and environmental perspectives. Credit will be granted for only one of NEST 303 or AMNE 312."
AMNE,314,Early Empires of the Ancient Middle East,3,,,A history from 3100-333 BC with emphasis on Mesopotamia. Credit will be granted for only one of NEST 301 or AMNE 314.
AMNE,316,The Athenians and their Empire,3,"Prerequisite(type=""one_of"", children=[Prerequisite(type=""course"", details=""CLST 231""), Prerequisite(type=""course"", details=""AMNE 215"")])",,"The sources (literary, epigraphical and other) for Athens' emergence as one of the two leading city-states in late archaic and classical Greece and the stages by which her empire grew. Credit will be granted for only one of CLST 355 or AMNE 316. Prerequisite: One of CLST 231, AMNE 215."
AMNE,317,Alexander the Great and his Empire,3,"Prerequisite(type=""one_of"", children=[Prerequisite(type=""course"", details=""CLST 231""), Prerequisite(type=""course"", details=""AMNE 215"")])",,"The rise of Macedon under Philip II leading to its domination of Greece and the overthrow of the Persian Empire by his son, Alexander; the subsequent spread of Greek civilization in the East. Credit will be granted for only one of CLST 356 or AMNE 317. Prerequisite: One of CLST 231, AMNE 215."
AMNE,318,The Roman Republic,3,"Prerequisite(type=""one_of"", children=[Prerequisite(type=""course"", details=""CLST 232""), Prerequisite(type=""course"", details=""AMNE 216"")])",,"Rome from the foundation to the Augustan settlement. Constitutional development; the workings and failure of the Republican political system; acquisition and growth of Empire; the political, social, and economic consequences of imperialism. Credit will be granted for only one of CLST 352 or AMNE 318. Prerequisite: One of CLST 232, AMNE 216."
AMNE,319,The Early Roman Empire,3,"Prerequisite(type=""one_of"", children=[Prerequisite(type=""course"", details=""CLST 232""), Prerequisite(type=""course"", details=""AMNE 216"")])",,"Roman imperial history during the Julio-Claudian and Flavian periods (30 BC-96 AD). Credit will be granted for only one of CLST 353 or AMNE 319. Prerequisite: One of CLST 232, AMNE 216."
AMNE,323,Slavery in the Ancient Greek and Roman World,3,,,"The study and history of slavery in the Greek and Roman worlds as a political, legal, economic, social, and cultural phenomenon. Credit will be granted for only one of CLST 320 or AMNE 323."
AMNE,324,"Women in the Bronze Age, Classical Greek and Hellenistic Cultures",3,,,"The images projected in mythology, literature, and art are compared with realities of women's lives insofar as they can be reconstructed from historical, legal, and archaeological records. Credit will be granted for only one of CLST 311 or AMNE 324."
AMNE,325,Women in the Roman World of Republican and Imperial Times,3,,,"Women in the Roman world in the culture of the Republic and the Empire. Literary, artistic, and mythological sources are compared and contrasted to historical, legal, and archaeological records. Credit will be granted for only one of CLST 312 or AMNE 325."
AMNE,326,Ancient Greek Warfare,3,,,"Ancient Greek methods and tactics of war plus underlying social, religious and philosophical concepts relating to warfare, through sources in translation. Credit will be granted for only one of CLST 329 or AMNE 326."
AMNE,327,The Roman Army,3,,,Rome's military from the early Republic to the Imperial period. Topics range from those of a military nature such as equipment and strategy to social topics such as policing and marriage of soldiers. Credit will be granted for only one of CLST 319 or AMNE 327.
AMNE,331,Jewish Law,3,,,"History, sources, theoretical issues and current state of research about early Jewish legal traditions, focusing on close readings of classic primary texts in English translations. Credit will be granted for only one of RELG 335 or AMNE 331."
AMNE,332,Greek Law,3,,,"The study of Greek legal theory, practice, and institutions from their origin in self-help, through the early lawgivers and their codes, to the developed system of Athens in the fifth and fourth centuries. A variety of test cases from the works of the Greek orators will be explored. Credit will be granted for only one of CLST 307 or AMNE 332."
AMNE,333,Roman Law,3,,,"The development of Roman private law during the classical period with special attention to family law, contract and delict. Credit will be granted for only one of CLST 308 or AMNE 333."
AMNE,341,"Sex, Lies, and Violence in the Hebrew Bible",3,,,"An exploration of the Bible's dark side, with emphasis on texts that center on sex, deceit, and murder. Credit will be granted for only one of RELG 307 or AMNE 341."
AMNE,342,Translating the Bible,3,,,"Key issues involved in translating the Bible, with attention to gender, sexuality, race, ethnicity, religion, and colonialism."
AMNE,345,Greek Epic,3,/* Unparsed: second-year standing or above. */,,"Homer's Iliad and Odyssey, in translation. Credit will be granted for only one of CLST 313 or AMNE 345. Prerequisite: Second-year standing or above."
AMNE,346,Latin Epic,3,/* Unparsed: second-year standing or above. */,,"The development of the epic genre in Latin, with detailed study of Vergil's Aeneid, Ovid's Metamorphoses, and Lucan's Civil War, in translation. Credit will be granted for only one of CLST 314 or AMNE 346. Prerequisite: Second-year standing or above."
AMNE,347,Classical Comedy,3,/* Unparsed: second-year standing and above. */,,"The plays of the Greek and Roman comic dramatists: Aristophanes, Menander, Plautus and Terence, in translation. Credit will be granted for only one of CLST 318 or AMNE 347. Prerequisite: Second-year standing and above."
AMNE,348,Classical Tragedy,3,,,"The plays of the Greek and Roman tragic dramatists, in translation. Credit will be granted for only one of CLST 317 or AMNE 348. Recommended pre-requisite: One of CLST 105, AMNE 151. Restricted to students with second year standing or higher."
AMNE,351,Religion in Ancient Egypt,3,,,"A survey of the religious beliefs, cults, and religious institutions in Pharaonic Egypt. Credit will be granted for only one of NEST 312 or AMNE 351."
AMNE,355,Greek Religion,3,,,A survey of both traditional and exoteric religious practices from the Archaic to the Hellenistic period. Some knowledge of ancient Greece is recommended. Credit will be granted for only one of CLST 333 or AMNE 355.
AMNE,356,Roman Religion,3,,,"Roman religions between the ninth century BCE and the fourth century CE, including mystery religions, magic, emperor worship, and early Christianity, with particular attention devoted to the primary sources. Some knowledge of ancient Rome is recommended. Credit will be granted for only one of CLST 334 or AMNE 356."
AMNE,361,The Origins of Judaism,3,,,"Surveys the history of Jews and Judaism in the Second Temple era, from the destruction of the First Jerusalem Temple (586 B.C.E.) to the beginnings of the rabbinic movement (200 C.E.). Credit will be granted for only one of RELG 330 or AMNE 361."
AMNE,363,"Talmud, Midrash and the Rabbinic Imagination",3,,,"The Talmud, Midrash, and other late-antique (3rd - 7th centuries) rabbinic writings, focusing on biblical interpretation and narratives. Credit will be granted for only one of RELG 308 or AMNE 363."
AMNE,364,"Magic, Prophecy, and Divination in the Biblical World",3,,,"Textual, contextual, and comparative exploration of the reciprocal relations between gods and people in the Hebrew Bible, Near Eastern ritual texts, and ancient experience. Credit will be granted for only one of RELG 305 or AMNE 364. Equivalency: RELG 305."
AMNE,366,The Origins of Christianity,3,,,The origins of Christianity as reflected in early Christian literature of the first and early second centuries (including the New Testament). Credit will be granted for only one of RELG 317 or AMNE 366.
AMNE,368,Paul and the Making of Christianity,3,,,"Study of the controversial figure of Paul of Tarsus: his writings, impact, and reception, with attention to the contexts of ancient Judaism and the Roman Empire. AMNE 264 or previous experience reading the New Testament is recommended. Credit will be granted for only one of RELG 415, AMNE 368, or AMNE 464. Equivalency: RELG 415, AMNE 368, or AMNE 464."
AMNE,369,Jesus: Between History and Literature,3,,,"The figure of Jesus, his teachings, and his reception through literary and contextual analysis of the canonical and apocryphal gospels. Recommended: AMNE 264 or previous experience reading the New Testament. Credit will be granted for only one of RELG 414, AMNE 369, or AMNE 463."
AMNE,371,Ancient Egypt: The Archaeology of the Land of the Pharaohs,3,,,"The material remains of the ancient Egyptians from monumental tombs and temples to the artifacts of daily life; the development of Egyptian civilization from the rise of the first rulers to its incorporation into the Roman Empire. Credit will be granted for only one of NEST 304, AMNE 371 or ARTH 325. Equivalency: ARTH325"
AMNE,372,The Archaeology of Ancient Iraq and Syria: Babylon and Beyond,3,,,"An overview of the archaeology of the ancient Near East, with special emphasis on the civilizations of Mesopotamia, from the appearance of the first cities (c. 3400 BCE) to the end of the Persian period (c. 330 BCE). AMNE 170 recommended as preparation. Credit will be granted for only one of NEST 319, AMNE 372 or ARTH 319. Equivalency: ARTH319"
AMNE,373,Archaeology and the Bible,3,,,The impact of archaeological research on understanding the history and religion of ancient Israel. Credit will be granted for only one of RELG 306 or AMNE 373.
AMNE,376,Greek Art and Architecture,3,,,"The visual culture of the ancient Greek world in the second and first millennia BCE, especially from c. 1000 to 30 BCE. Credit will be granted for only one of CLST 331, AMNE 376 or ARTH 331. Equivalency: ARTH 331"
AMNE,377,Roman Art and Architecture,3,,,"The visual culture of the ancient Roman world from the 8th century BCE to the 4th century CE. Credit will be granted for only one of CLST 332, AMNE 377 or ARTH 332. Equivalency: ARTH 332"
AMNE,379,Art and the Religious Transformation of the Late Roman Empire,3,,,"Visual culture and religious diversity of the Late Roman Empire (2nd-7th c.); social, political, and religious contexts of art, including diverse viewing practices and cultural frameworks. Credit will be granted for only one of CNRS 333, AMNE 379 or ARTH 310. Equivalency: ARTH 310"
AMNE,381,Theories of Myth,3,,,"Origins, nature, and transmission of myth in the Western tradition, with particular attention devoted to the interpretation of myth from ancient times up to the present. Some background in myth is recommended. Credit will be granted for only one of CNRS 370 or AMNE 381."
AMNE,382,Egyptomania,3,,,"The adaptation and appropriation of ancient Egypt in ancient and modern art, architecture, film, and music; the development of Egyptology since the 19th century. Credit will be granted for only one of NEST 318 or AMNE 382."
AMNE,383,Modern Jewish Ethics in Historical Perspective,3,,,"Readings from key texts in English translation, tracing how Jewish approaches to ethical issues evolved from biblical times to the present. Credit will be granted for only one of RELG 313 or AMNE 383."
AMNE,391,Introduction to Middle Egyptian,3,,,Language of Ancient Egypt and the main literary texts composed during the Middle Kingdom. Credit will be granted for only one of NEST 313 or AMNE 391.
AMNE,392,Introduction to Akkadian,3,,,The basic grammar and introduction to the cuneiform writing system of the Akkadian language of the Ancient Near East. Credit will be granted for only one of NEST 315 or AMNE 392.
AMNE,393,Introduction to Coptic,3,,,"An introduction to Coptic, the language of Christian Egypt from 100 AD. Credit will be granted for only one of NEST 317 or AMNE 393."
AMNE,394,Introduction to Aramaic,3,,,"Basics of Imperial Aramaic grammar and vocabulary, with readings from biblical and other ancient sources from the eastern Mediterranean and Southwest and Central Asia."
AMNE,463,The Gospels and the Historical Jesus,3,,,The canonical and apocryphal gospels and the life and teachings of the historical Jesus. Credit will be granted for only one of RELG 414 or AMNE 463.
AMNE,472,The Archaeology of Ancient Cyprus,3,,,An overview of the archaeology of ancient Cyprus from the island's initial colonization in the 10th millennium BCE through the period of its rule as part of the Roman Empire (4th century CE). Credit will be granted for only one of CNRS 410 or AMNE 472.
AMNE,499,Honours Essay,6,,,Credit will be granted for only one of CNRS 449 or AMNE 499. This course is not eligible for Credit/D/Fail grading.
AMNE,581,Theory and Method in the Study of Religion,3,,,Credit will be granted for only one of RELG 531 or AMNE 581. This course is not eligible for Credit/D/Fail grading.
AMNE,595,Practicum in Ancient Mediterranean or Near Eastern Archaeology,3,,,"Training in excavation techniques and interpretation through participation in the excavation of a Greek, Roman, or Near Eastern site in Europe or the Middle East. The minimum length of the course is three weeks. Credit will be granted for only one of CNRS 535 or AMNE 595. This course is not eligible for Credit/D/Fail grading."
AMNE,599,Master's Thesis,6,,,Credit will be granted for only one of CNRS 549 or AMNE 599. This course is not eligible for Credit/D/Fail grading.
AMNE,699,Doctoral Dissertation,0,,,This course is not eligible for Credit/D/Fail grading.
ANAT,392,Gross Anatomy of the Limbs and Trunk,4,,,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.
ANAT,393,Human Anatomy for Physical Therapy Students,4,/* Unparsed: registration in rehabilitation sciences (rspt) is required. */,,Microscopic systems anatomy and regional anatomy of the nervous system. [3-0-0] Prerequisite: Registration in Rehabilitation Sciences (RSPT) is required.
ANAT,400,Human Anatomy,16,,,"A correlated course of study for medical and dental students of the structure of the human body including gross and radiological anatomy and embryology. Clinics are held in cooperation with the Departments of Medicine, Orthopaedics, Surgery and Family Practice. Both terms. This course is not eligible for Credit/D/Fail grading."
ANAT,401,Microscopic Human Anatomy,8,,,A survey course for medical and dental students of the microscopic structure of the human body as studied by light and electron microscopy. Lectures and laboratory sessions. Both terms. This course is not eligible for Credit/D/Fail grading.
ANAT,425,Elements of Neuroanatomy,4,,,An introduction to the structure of the human nervous system. Given only in conjunction with PHYL 425. (Open to Medical and Dental students only.)
ANAT,500,Gross Human Anatomy,12,,,An advanced laboratory course in the structure of the human body. This course is not eligible for Credit/D/Fail grading.
ANAT,501,Microscopic Human Anatomy,6,,,An advanced lecture and laboratory course in the microscopic structure of the human body. This course is not eligible for Credit/D/Fail grading.
ANAT,502,Microscopic Anatomy,8,"Prerequisite(type=""all_of"", children=[])",,The microscopic anatomy of tissues and organs in man. Prerequisite: [ANAT401] This course is not eligible for Credit/D/Fail grading.
ANAT,504,Cell Structure and Function,3,,,Seminar discussions of current topics in vertebrate cell biology. This course is not eligible for Credit/D/Fail grading.
ANAT,505,General Cytological Biophysics,6,,,An examination of selected properties of the cell and underlying mechanisms based on the ultrastructure of the cell and on the physical chemistry of open systems. This course is not eligible for Credit/D/Fail grading.
ANAT,510,Neuroanatomy,4,,,The gross and microscopic study of the nervous system in man. This course is not eligible for Credit/D/Fail grading.
ANAT,511,Fundamentals of Body Design: Basic Principles in Human Anatomy as Illustrated by the Organization of the Back and Upper Limb,3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,512,Functional Human Anatomy of Head and Neck Systems,3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,513,"Functional Human Anatomy of the Respiratory, Cardiovascular and Gastrointestinal Systems of the Thorax and Abdomen",3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,514,Functional Human Anatomy of the Urogenital Systems: Pelvis and Perineum,3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,515,"Functional Human Anatomy of the Musculoskeletal Systems: Back, Limbs and Joints",3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,516,Functional Human Neuroanatomy: Central Nervous System,3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,517,"Functional Human Microscopic Anatomy: Basic Tissues, Organs and Systems",3,,,This course is not eligible for Credit/D/Fail grading.
ANAT,527,Muscle Biophysics,3,,,Selected topics in muscle contraction at an advanced level Permission of Head required. Equivalency: PHYL530 This course is not eligible for Credit/D/Fail grading.
ANAT,549,M.Sc. Thesis,12,,,This course is not eligible for Credit/D/Fail grading.
ANAT,550,Current Topics in the Morphological Sciences,3,,,"Lectures, demonstrations, discussions and student seminars on selected and current topics in cell biology and the anatomical sciences. Attendance is required of all M.Sc. and Ph.D. students in Anatomy & Cell Biology. [1-0-0] Prerequisite: Students must be registered in graduate-level studies in Anatomy & Cell Biology. This course is not eligible for Credit/D/Fail grading."
ANAT,590,"Introduction to Functional Human Anatomy: Survey of Microscopic Anatomy, Neuroanatomy and Gross Anatomy",6,,,This course is not eligible for Credit/D/Fail grading.
ANAT,649,Doctoral Dissertation,0,,,This course is not eligible for Credit/D/Fail grading.
ANTH,200,Introduction to Problems in Method and Theory in Anthropology,3,,,A survey of basic concepts and procedures in the cross-cultural study of human societies.
ANTH,201,"Culture, Race and Inequality",3,,,"Anthropological critiques of racism, colonialism and ongoing structural inequalities."
ANTH,203,Anthropology of Drugs,3,,,"Illicit and/or licit drugs through historical, political, cultural and societal examples."
ANTH,205,The Anthropology of Insurrections and Revolution,3,,,Analysis of insurrections and revolutions from a comparative perspective.
ANTH,206,"Witches, Vampires, and Zombies: Anthropology of the Supernatural",3,,,Anthropological approaches to supernatural beliefs in both traditional and contemporary societies.
ANTH,210,Eating Culture,3,,,"An anthropological exploration of how the collection, cultivation and consumption of food shapes human society and culture. This course is not eligible for Credit/D/Fail grading."
ANTH,213,"Sex, Gender, and Culture",3,,,An anthropological exploration of how understandings of sex and gender are culturally and historically shaped.
ANTH,215,Japanese Popular Culture,3,,,"Television shows, dramas, movies, advertising, marketing, manga (Japanese style comics), anime (Japanese animation), theatrical forms, popular literature, popular music, fashion fads, tourism, toys, and sports."
ANTH,217,Culture and Communication,3,,,"The study of communication; the relation between communication and its cultural context with emphasis on verbal and non-verbal communication, cross-cultural communication, and cultural differences in the use of oral, literate, and electronic media."
ANTH,220,Contemporary Indigenous Issues in British Columbia,3,,,Anthropological perspectives on contemporary Indigenous issues in British Columbia.
ANTH,221,Contemporary Indigenous Cultural Expressions,3,"Prerequisite(type=""course"", details=""ANTH 220"")",,"Forms and styles of indigenous expressive arts, and their current place in the lives of Indigenous Peoples. Prerequisite: ANTH 220 is recommended."
ANTH,227,Introduction to Medical Anthropology,3,,,"An examination of health and illness, in their social and cultural contexts."
ANTH,240,Sport in Society and Culture,3,,,Sport within the context of historic and contemporary society.
ANTH,241,Introduction to Museums and Museology,3,,,The critical study of anthropology museums as social institutions and material culture research and classification from the late 19th century to the present day.
ANTH,242,Visions of the Sacred: Introduction to the Anthropology of Religion,3,,,"Comparative, cross-cultural approach to human engagement with the sacred. Examines religions as complex systems that share certain fundamental common features."
ANTH,275,Migration and (Im)mobilities: Anthropological Perspectives,3,,,"Introduction to foundational topics in the anthropological study of migration, asylum, border-crossing, and (im)mobilities. Recommended: At least one 100-level or 200-level social science course (e.g. ANTH, SOCI, GEOG, POLI)."
ANTH,301,Ethnography of Eurasia,3,,,"Eurasia, including the Russian Federation, Central Asia, and Mongolia, with an emphasis on issues of power, identities, and transnational mobility in the region."
ANTH,309,Ethnography of the Himalaya: Diversity & Development,3,,,"Ethnographic engagement with lives of people in and from the Himalayan region: including parts of Bhutan, China, India, Nepal, Pakistan; Tibetan cultural zones traversing these countries; and diasporas."
ANTH,311,Ethnography of the Middle East,3,,,"Critical analysis of colonial experience and cultural representations of the Middle East, particularly visions of orientalism and geopolitical discourses. Draws on ethnographic literature to consider contemporary life and subjectivities."
ANTH,312,Anthropology of Gender & Sexuality,3,,,"Ethnographic and theoretical approaches to gender and sexuality, in cross-cultural context."
ANTH,314,Anthropology of Childhood,3,,,"Examines the life stage of childhood through various anthropological perspectives, and the evolutionary and social factors that shape human childhood. Explores childhood activities and culture to critically engage with reasons behind distinct patterns in human upbringing."
ANTH,315,Japanese Culture and Society,3,,,"Japanese culture and society: patterns of organization, value systems, family, education, work, minorities and diversity, harmony and conflict, urban/rural differences, gender, sexuality, youth, tradition, continuity, change, and future prospects."
ANTH,316,"Culture, Power & Politics",3,,,"Topics in political anthropology; ethnographic and theoretical approaches to nationalism, globalization, political systems, international movements and organizations; anthropology of the state."
ANTH,330,Anthropology of Rural Peoples and the Global Economy,3,,,"A comparative study of rural peoples (such as small-scale horticulturists, artisans and craft workers, peasants, fisherfolk, or industrial/manufacturing workers) in the global economy."
ANTH,333,Language and Power,3,,,"A sociolinguistic examination of the role of language in articulating, maintaining, and subverting power relations in society."
ANTH,353,Ethnography of Latin America,3,,,"Indigenous peoples of Latin America, emphasizing both pre-Columbian cultural traditions and socioeconomic and cultural changes from the Colonial period to the present."
ANTH,360,Introduction to Ecological Anthropology,3,,,"Analysis of the relations between human societies and the ecological aspects of their environment (including technology, society, and ideology). Previously ANTH 460."
ANTH,375,"Refugees, Resistance, and Activism",3,,,"Examines the movements around refugee and immigrant rights in various geographic contexts, through the lens of ethnographic texts and media. Explores how migrants and refugees are taking an active role in transforming the global system of borders. Recommended pre-requisite: at least one 200-level social science course (e.g. ANTH, SOCI, GEOG, POLI)"
ANTH,376,Diasporas and Belonging: Anthropological Perspectives,3,,,"Examines how multiple generations of migrants find, build, and reimagine what community and belonging are beyond the confines of the nation-state. Centres ethnographies of diasporic identity and personhood. Recommended: at least one 200-level social science course (e.g. ANTH, SOCI, GEOG, POLI)."
ANTH,378,Anthropology of Media,3,,,"Analysis of contemporary mass media and of the anthropological use of media (photography, film, digital audio and video, etc.)."
ANTH,401,First Peoples of North America,3,"Prerequisite(type=""course"", details=""ANTH 329"")",,Anthropological perspectives of indigenous cultures and societies of North America. Prerequisite: ANTH 329 is recommended.
ANTH,407,Principles of Field Work,3,,,"An examination of field work as the basic setting for ethnographic research. Research design; relationships with study participants, field techniques, and data analysis and presentation."
ANTH,412,Advanced Topics in the Anthropology of Gender,3,,,Contemporary theory employed in the anthropological study of gender.
ANTH,414,Anthropology of Globalization,3,,,"Theories on the global flow of people, commodities, images, and ideas with critical ethnographic attention to the different ways people respond to globalization."
